Sr No,Sensor,Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading
1586958692797450343,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:56:00,57.82692,False
1586958692797750812,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:38:00,-3.8025,True
1586958692798467268,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:57:00,4.686,False
1586958692800390884,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:57:00,1.6675,False
1586958692800591939,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:38:00,11.16532,False
1586958692801861464,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:57:00,46.44164,False
1586958692801878851,sensor03,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:19:00,-4.90125,True
1586958692803309750,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:38:00,22.839,False
1586958692803595809,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:57:00,2.54,False
1586958692805286188,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:57:00,11.311,False
1586958692805273993,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:38:00,1.02,False
1586958692807216350,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:57:00,22.747,False
1586958692808200087,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:38:00,2.439,False
1586958692808475307,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:57:00,13.845,False
1586958692810667093,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:57:00,5.13,False
1586958692810846984,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:38:00,7.594,False
