Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:35:00,True,-3.70375
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:52:00,False,3.87
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:52:00,False,12.107999999999999
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:35:00,False,12.8404
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:18:00,False,14.852
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:52:00,False,29.226
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:35:00,False,24.308000000000003
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:52:00,False,6.14
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:53:00,False,22.42875
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:35:00,False,1.87
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:53:00,False,50.84836
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:35:00,False,2.12
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:53:00,False,7.265
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:53:00,False,3.15
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:35:00,False,10.131
PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:18:00,False,15.308
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:53:00,False,10.514000000000001
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:35:00,False,3.4789999999999996
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:53:00,False,24.255
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:53:00,False,5.52
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:35:00,False,1.47
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:53:00,False,13.325999999999999
